"Branch ID";"Buyer";"PO Num";"Verbal PO";"Supplier Code";"Supplier Name";"Type";"PO Type";"Reference";"CREATED-DATE";"PO Status";"Ext. Cost"
"10NJ";"ALEX";"12086";"";"GSLPSC";"GARDEN STATE LUMBER SC";"PO";"XFER";"";"10/25/2024";"Canceled";"0.00"
"10NJ";"ALEX";"12142";"";"GSLPSC";"GARDEN STATE LUMBER SC";"PO";"XFER";"";"10/30/2024";"Closed";"17.35"
"10NJ";"ALEX";"12177";"";"GSLPSC";"GARDEN STATE LUMBER SC";"PO";"XFER";"";"10/31/2024";"Closed";"4.48"
"10NJ";"ALEX";"12202";"";"GSLPSC";"GARDEN STATE LUMBER SC";"PO";"XFER";"";"11/01/2024";"Closed";"15.18"
"10NJ";"ALEX";"12309";"";"GSLPSC";"GARDEN STATE LUMBER SC";"PO";"XFER";"";"11/06/2024";"Closed";"20,098.85"
"10NJ";"ALLAN";"10702";"";"RESHI";"Reshine Xiamen Industrial";"PO";"NONSTOCK";"";"09/05/2024";"Open";"12,046.85"
"10NJ";"ALLAN";"10747";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"NONSTOCK";"NORTH ISLAND MILLWOR";"09/06/2024";"Closed";"3,703.39"
"10NJ";"ALLAN";"10930";"";"HINCH";"HINCHMAN ARCHITECTURAL MILL";"PO";"STOCK";"";"09/13/2024";"Closed";"5,000.00"
"10NJ";"ALLAN";"10948";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"09/16/2024";"Closed";"8,544.00"
"10NJ";"ALLAN";"11422";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"NONSTOCK";"";"10/03/2024";"Open";"7,553.22"
"10NJ";"ALLAN";"12394";"";"GSMILL";"GS MILLWORK";"PO";"STOCK";"";"11/08/2024";"Open";"5,353.60"
"10NJ";"BBeland";"10171";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"08/15/2024";"Closed";"80.00"
"10NJ";"BBeland";"10172";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/15/2024";"Closed";"116.72"
"10NJ";"BBeland";"10235";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"08/19/2024";"Closed";"17,909.01"
"10NJ";"BBeland";"10239";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"08/19/2024";"Closed";"35.00"
"10NJ";"BBeland";"10246";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"08/19/2024";"Closed";"672.00"
"10NJ";"BBeland";"10255";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"08/19/2024";"Closed";"1,093.41"
"10NJ";"BBeland";"10293";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/21/2024";"Closed";"200.92"
"10NJ";"BBeland";"10327";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/22/2024";"Closed";"195.49"
"10NJ";"BBeland";"10342";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/22/2024";"Closed";"52.60"
"10NJ";"BBeland";"10354";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/22/2024";"Closed";"19.88"
"10NJ";"BBeland";"10382";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/23/2024";"Canceled";"0.00"
"10NJ";"BBeland";"10390";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"NONSTOCK";"";"08/26/2024";"Closed";"6,871.88"
"10NJ";"BBeland";"10414";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"08/26/2024";"Closed";"2,520.00"
"10NJ";"BBeland";"10444";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"08/27/2024";"Closed";"7.92"
"10NJ";"BBeland";"10525";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/27/2024";"Closed";"50.60"
"10NJ";"BBeland";"10556";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"08/28/2024";"Closed";"196.00"
"10NJ";"BBeland";"10564";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"08/28/2024";"Closed";"15,617.98"
"10NJ";"BBeland";"10566";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"NONSTOCK";"";"08/29/2024";"Closed";"7,500.88"
"10NJ";"BBeland";"10576";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"08/29/2024";"Closed";"14.40"
"10NJ";"BBeland";"10587";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"08/29/2024";"Closed";"207.00"
"10NJ";"BBeland";"10607";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"08/30/2024";"Canceled";"1,568.00"
"10NJ";"BBeland";"10643";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/03/2024";"Closed";"176.00"
"10NJ";"BBeland";"10704";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/05/2024";"Closed";"147.11"
"10NJ";"BBeland";"10745";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/06/2024";"Closed";"449.35"
"10NJ";"BBeland";"10753";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/06/2024";"Closed";"28.10"
"10NJ";"BBeland";"10800";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/10/2024";"Closed";"2,435.52"
"10NJ";"BBeland";"10837";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/11/2024";"Closed";"285.84"
"10NJ";"BBeland";"10874";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/12/2024";"Closed";"21.03"
"10NJ";"BBeland";"10911";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/13/2024";"Closed";"31.22"
"10NJ";"BBeland";"10942";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"NONSTOCK";"";"09/16/2024";"Closed";"7,320.13"
"10NJ";"BBeland";"10958";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"09/16/2024";"Closed";"9,863.00"
"10NJ";"BBeland";"10992";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"09/18/2024";"Closed";"1,280.00"
"10NJ";"BBeland";"10997";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/18/2024";"Closed";"27.86"
"10NJ";"BBeland";"10999";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/18/2024";"Closed";"1,044.00"
"10NJ";"BBeland";"11040";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/19/2024";"Closed";"57.50"
"10NJ";"BBeland";"11044";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/19/2024";"Closed";"3,142.38"
"10NJ";"BBeland";"11046";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/19/2024";"Closed";"10.40"
"10NJ";"BBeland";"11056";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/19/2024";"Closed";"662.40"
"10NJ";"BBeland";"11078";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/20/2024";"Closed";"160.00"
"10NJ";"BBeland";"11082";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/20/2024";"Closed";"61.09"
"10NJ";"BBeland";"11091";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/20/2024";"Canceled";"30.88"
"10NJ";"BBeland";"11096";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/20/2024";"Closed";"174.00"
"10NJ";"BBeland";"11099";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/20/2024";"Closed";"1,000.00"
"10NJ";"BBeland";"11112";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/23/2024";"Closed";"222.54"
"10NJ";"BBeland";"11120";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/23/2024";"Closed";"72.14"
"10NJ";"BBeland";"11163";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"09/24/2024";"Closed";"104.50"
"10NJ";"BBeland";"11246";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"09/25/2024";"Open";"26,715.17"
"10NJ";"BBeland";"11247";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/25/2024";"Closed";"491.04"
"10NJ";"BBeland";"11249";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/25/2024";"Closed";"1,360.00"
"10NJ";"BBeland";"11255";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"09/25/2024";"Closed";"305.00"
"10NJ";"BBeland";"11263";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/25/2024";"Closed";"53.00"
"10NJ";"BBeland";"11265";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/25/2024";"Closed";"65.00"
"10NJ";"BBeland";"11273";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"09/26/2024";"Closed";"44.00"
"10NJ";"BBeland";"11312";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"09/27/2024";"Open";"36,458.28"
"10NJ";"BBeland";"11350";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"09/30/2024";"Closed";"361.60"
"10NJ";"BBeland";"11354";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"09/30/2024";"Closed";"72.00"
"10NJ";"BBeland";"11450";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"10/04/2024";"Closed";"204.00"
"10NJ";"BBeland";"11452";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"10/04/2024";"Closed";"874.08"
"10NJ";"BBeland";"11499";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/07/2024";"Closed";"42.06"
"10NJ";"BBeland";"11556";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/08/2024";"Closed";"41.21"
"10NJ";"BBeland";"11560";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"631 831 4881";"10/09/2024";"Closed";"122.76"
"10NJ";"BBeland";"11568";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"10/09/2024";"Closed";"1,020.00"
"10NJ";"BBeland";"11621";"";"HINCH";"HINCHMAN ARCHITECTURAL MILL";"PO";"NONSTOCK";"";"10/10/2024";"Closed";"243.00"
"10NJ";"BBeland";"11652";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"10/11/2024";"Closed";"112.00"
"10NJ";"BBeland";"11684";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"10/14/2024";"Closed";"210.20"
"10NJ";"BBeland";"11732";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"10/15/2024";"Canceled";"0.00"
"10NJ";"BBeland";"11760";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/16/2024";"Closed";"165.53"
"10NJ";"BBeland";"11765";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/16/2024";"Closed";"36.80"
"10NJ";"BBeland";"11784";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/17/2024";"Closed";"99.17"
"10NJ";"BBeland";"11800";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"10/17/2024";"Open";"3,121.39"
"10NJ";"BBeland";"11937";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/21/2024";"Closed";"27.80"
"10NJ";"BBeland";"11941";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"DIRECT";"";"10/21/2024";"Open";"17,258.80"
"10NJ";"BBeland";"11964";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/22/2024";"Closed";"63.30"
"10NJ";"BBeland";"11971";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"10/22/2024";"Closed";"507.60"
"10NJ";"BBeland";"12009";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/23/2024";"Closed";"94.62"
"10NJ";"BBeland";"12018";"";"MONTE";"J.H. MONTEATH";"PO";"NONSTOCK";"";"10/24/2024";"Closed";"75.86"
"10NJ";"BBeland";"12097";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"10/28/2024";"Closed";"38.75"
"10NJ";"BBeland";"12108";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"10/28/2024";"Open";"968.28"
"10NJ";"BBeland";"12233";"";"GSMILL";"GS MILLWORK";"PO";"NONSTOCK";"";"11/04/2024";"Open";"1,430.29"
"10NJ";"BBeland";"12243";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"11/04/2024";"Closed";"299.50"
"10NJ";"BBeland";"12328";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"11/06/2024";"Open";"4,050.00"
"10NJ";"BBeland";"12335";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"11/06/2024";"Open";"14.59"
"10NJ";"BBeland";"12347";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"11/07/2024";"Open";"0.00"
"10NJ";"BBeland";"12392";"";"NUCDR";"JAIN AMERICAS, INC. - NUCEDAR";"PO";"NONSTOCK";"";"11/08/2024";"Open";"3,832.80"
"10NJ";"BBeland";"12400";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"11/08/2024";"Open";"19.84"
"10NJ";"BBeland";"12425";"";"RESIN";"RESINART EAST, INC";"PO";"DIRECT";"";"11/11/2024";"Open";"103.04"
"10NJ";"BBeland";"12438";"";"NBEAD";"NANTUCKET BEADBOARD CO";"PO";"NONSTOCK";"";"11/11/2024";"Open";"720.00"
"10NJ";"BPRATT";"10197";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/16/2024";"Closed";"34,447.56"
"10NJ";"BPRATT";"10201";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"STOCK";"";"08/16/2024";"Closed";"59,466.34"
"10NJ";"BPRATT";"10209";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"40,391.77"
"10NJ";"BPRATT";"10210";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"39,966.01"
"10NJ";"BPRATT";"10211";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"38,766.18"
"10NJ";"BPRATT";"10212";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"38,640.84"
"10NJ";"BPRATT";"10213";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"38,066.30"
"10NJ";"BPRATT";"10214";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"43,499.79"
"10NJ";"BPRATT";"10215";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"38,086.96"
"10NJ";"BPRATT";"10216";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"42,837.10"
"10NJ";"BPRATT";"10217";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"44,990.82"
"10NJ";"BPRATT";"10218";"";"SHAMROC";"SHAMROCK INTERNATIONAL";"PO";"STOCK";"";"08/16/2024";"Open";"43,371.29"
"10NJ";"BPRATT";"10264";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"39,740.89"
"10NJ";"BPRATT";"10265";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"31,411.93"
"10NJ";"BPRATT";"10266";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"35,448.68"
"10NJ";"BPRATT";"10267";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"19,654.27"
"10NJ";"BPRATT";"10268";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"19,654.27"
"10NJ";"BPRATT";"10269";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"19,654.27"
"10NJ";"BPRATT";"10270";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"19,654.27"
"10NJ";"BPRATT";"10271";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"23,997.89"
"10NJ";"BPRATT";"10272";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"28,639.28"
"10NJ";"BPRATT";"10273";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"31,996.04"
"10NJ";"BPRATT";"10274";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"27,000.47"
"10NJ";"BPRATT";"10275";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"STOCK";"";"08/20/2024";"Closed";"22,583.34"
"10NJ";"BPRATT";"10312";"";"PINELLI";"PINELLI UNIVERSAL";"PO";"STOCK";"";"08/21/2024";"Closed";"31,075.89"
"10NJ";"BPRATT";"10347";"";"ARAUCO";"ARAUCO NORTH AMERICA INC";"PO";"NONSTOCK";"";"08/22/2024";"Closed";"37,497.60"
"10NJ";"BPRATT";"10425";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/26/2024";"Open";"29,796.50"
"10NJ";"BPRATT";"10426";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/26/2024";"Open";"39,100.42"
"10NJ";"BPRATT";"10427";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/26/2024";"Open";"37,407.74"
"10NJ";"BPRATT";"10428";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/26/2024";"Open";"37,407.74"
"10NJ";"BPRATT";"10429";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/26/2024";"Open";"39,973.29"
"10NJ";"BPRATT";"10447";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10448";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10449";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10450";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10451";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10452";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10453";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"25,522.56"
"10NJ";"BPRATT";"10454";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,242.40"
"10NJ";"BPRATT";"10455";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,686.20"
"10NJ";"BPRATT";"10456";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,859.20"
"10NJ";"BPRATT";"10457";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,859.20"
"10NJ";"BPRATT";"10458";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,651.20"
"10NJ";"BPRATT";"10459";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"27,118.00"
"10NJ";"BPRATT";"10460";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"26,261.60"
"10NJ";"BPRATT";"10461";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,349.32"
"10NJ";"BPRATT";"10462";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"39,271.68"
"10NJ";"BPRATT";"10463";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"39,271.68"
"10NJ";"BPRATT";"10464";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"37,710.49"
"10NJ";"BPRATT";"10465";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,452.36"
"10NJ";"BPRATT";"10466";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"40,341.31"
"10NJ";"BPRATT";"10467";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"40,341.31"
"10NJ";"BPRATT";"10468";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"28,647.17"
"10NJ";"BPRATT";"10469";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"32,550.91"
"10NJ";"BPRATT";"10470";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"26,800.13"
"10NJ";"BPRATT";"10471";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"26,800.13"
"10NJ";"BPRATT";"10472";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"26,800.13"
"10NJ";"BPRATT";"10473";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,475.53"
"10NJ";"BPRATT";"10474";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,475.53"
"10NJ";"BPRATT";"10475";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,475.53"
"10NJ";"BPRATT";"10476";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,475.53"
"10NJ";"BPRATT";"10477";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,475.53"
"10NJ";"BPRATT";"10478";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,188.33"
"10NJ";"BPRATT";"10479";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"31,188.33"
"10NJ";"BPRATT";"10480";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"27,717.89"
"10NJ";"BPRATT";"10481";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"29,453.11"
"10NJ";"BPRATT";"10482";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,810.74"
"10NJ";"BPRATT";"10483";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,425.66"
"10NJ";"BPRATT";"10484";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"30,487.91"
"10NJ";"BPRATT";"10485";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"42,270.72"
"10NJ";"BPRATT";"10486";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,956.16"
"10NJ";"BPRATT";"10487";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"39,628.80"
"10NJ";"BPRATT";"10488";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"37,969.92"
"10NJ";"BPRATT";"10489";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"37,040.64"
"10NJ";"BPRATT";"10490";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,177.60"
"10NJ";"BPRATT";"10491";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,177.60"
"10NJ";"BPRATT";"10492";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"30,873.60"
"10NJ";"BPRATT";"10493";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10494";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10495";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10496";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10497";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10498";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"33,408.00"
"10NJ";"BPRATT";"10499";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"30,400.00"
"10NJ";"BPRATT";"10500";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"30,400.00"
"10NJ";"BPRATT";"10501";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"30,400.00"
"10NJ";"BPRATT";"10502";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10503";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10504";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10505";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10506";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10507";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"36,352.00"
"10NJ";"BPRATT";"10508";"";"CMPC";"CMPC USA, INC";"PO";"STOCK";"";"08/27/2024";"Closed";"28,224.00"
